fn,bbox
JPEG_20160706_121146_1000145715002.png,143 115 325 495
JPEG_20161119_174038_1000690577600.png,61 23 409 457
147444927651111470309333776-Roadster-Men-Casual-Shoes-3041470309333487-1.png,13 37 470 601
147772332675720161028_161611.png,162 27 385 602
1473315333651DeeplearnS11638.png,174 60 325 586
JPEG_20161129_143914_1000304878557.png,37 35 442 549
JPEG_20161028_100621_1000815239330.png,86 77 434 558
1475060075141DSC02381.png,95 50 320 627
1473317734429DeeplearnS142.png,83 104 428 552
JPEG_20160607_153530_1000669241198.png,67 134 429 500
JPEG_20160627_154106_1000265795536.png,80 99 294 524
JPEG_20161129_134328_1000772650224.png,110 59 395 587
JPEG_20161201_123114_1000360160859.png,142 52 304 625
JPEG_20160621_155815_1000614998565.png,41 179 416 465
147771721999620161028_150629.png,79 77 444 481
1480066865683IMG_0157.png,160 85 338 449
147772025319520161028_151915.png,150 22 354 613
147742629330620161025_155320.png,20 125 268 499
JPEG_20160527_155124_1000980290136.png,0 154 480 467
JPEG_20161028_121752_10003102030.png,161 134 349 546
1474638701993DSC06811.png,43 161 382 573
JPEG_20160628_132442_1000306311172.png,125 114 372 542
147742527128620161025_151026.png,119 42 364 479
1480944963239_R2A1990.png,254 226 347 421
JPEG_20160804_161517_100037187045.png,48 28 423 602
JPEG_20160709_131920_1000403949668.png,19 24 472 477
1474711748206DSC07405.png,107 65 334 609
JPEG_20161124_133940_1000370433134.png,27 209 438 389
JPEG_20161123_185817_1000936746234.png,164 175 299 486
JPEG_20160723_192023_100022810186.png,0 0 440 640
JPEG_20161123_161917_1000691245413.png,73 266 392 357
147772062874720161028_154604.png,92 86 338 566
1474634407232DSC05920.png,53 30 324 611
JPEG_20160810_135200_1000252350484.png,146 199 420 487
JPEG_20161130_151625_1000513274539.png,70 34 382 601
1473661629179DeeplearnS11509.png,152 60 332 583
JPEG_20161117_175829_1000670753549.png,145 234 349 362
JPEG_20161123_184340_1000982358317.png,169 112 337 483
147443993217111472450523339-Roadster-Men-Grey-Sneakers-4751472450523145-5.png,59 30 436 640
JPEG_20161025_131729_1000643972377.png,62 137 433 488
JPEG_20161126_164712_1000236939160.png,149 64 324 602
1473750236513IMG_1108.png,168 88 335 559
1472629089402zoom1-Copy.png,107 34 399 607
JPEG_20160704_172116_1000861608634.png,158 94 324 567
JPEG_20161201_160357_1000965016556.png,38 131 470 529
1480965215775IMG_3062.png,62 181 448 471
147772172258320161028_161511.png,45 72 343 583
1480951436923_R2A2137.png,94 217 411 434
JPEG_20161028_142637_1000923172242.png,83 49 417 613
JPEG_20161118_150700_1000506466445.png,45 173 417 473
1473662891981DeeplearnS11359.png,126 71 357 572
JPEG_20161203_132254_1000178670601.png,24 175 418 509
JPEG_20161130_132113_1000907499945.png,48 125 447 428
JPEG_20160706_111526_1000476009087.png,166 112 289 536
JPEG_20160715_140239_1000265718556.png,148 69 342 500
1480970876761IMG_3438.png,50 188 461 462
JPEG_20161209_183557_1000364935730.png,165 103 361 631
JPEG_20160709_133325_1000574614398.png,142 178 346 454
JPEG_20161130_182253_1000427105105.png,197 161 292 548
147324145353520150407070610PR_Utility_Corner.png,78 16 406 626
1480584645523IMG_20161129_210604.png,57 43 393 624
JPEG_20160820_150657_1000701546226.png,117 162 340 609
JPEG_20160704_133610_100024164384.png,187 88 291 562
JPEG_20160820_131434_1000670423083.png,63 216 464 474
JPEG_20161124_164003_1000351544496.png,73 134 421 477
JPEG_20160810_164006_100032155769.png,31 160 446 449
JPEG_20160711_163048_1000163114709.png,26 226 418 421
1474702968408DSC07152.png,18 90 254 575
JPEG_20161202_161734_1000493518513.png,103 47 404 558
1480339688516_R2A4219.png,36 249 432 387
1474700674755DSC06986.png,40 65 437 562
JPEG_20161202_185429_1000409274383.png,0 187 465 493
147753843170620161026_114700.png,128 66 331 535
JPEG_20161130_171321_1000383001035.png,303 22 372 640
1468667661276JPEG_20160712_153232_1000659454586.png,91 172 350 538
147754502791020161026_134821.png,141 112 331 538
JPEG_20161209_140236_1000244431439.png,12 92 438 496
JPEG_20161123_131743_1000303566438.png,94 179 387 552
1475151510767DSC00648.png,135 31 356 579
1473231590181DeeplearnS11478.png,149 57 344 595
JPEG_20160622_152616_1000246548412.png,100 118 451 456
JPEG_20161123_174933_1000591803081.png,109 230 379 435
JPEG_20160627_120032_1000157611172.png,149 175 326 574
JPEG_20161129_140105_1000238002257.png,111 0 412 556
JPEG_20161130_163343_1000584596767.png,134 16 344 573
JPEG_20161120_122526_1000504155878.png,161 76 316 500
147333272630551848fam_XXX_v1.png,117 26 360 613
1480598143958_R2A5475.png,26 269 450 567
147445006893011473243520067-Roadster-Men-Grey-Solid-Regular-Sneakers-4861473243519759-1.png,43 33 461 605
JPEG_20161117_154402_1000938208918.png,0 0 480 640
JPEG_20160706_134313_1000410138823.png,169 139 301 523
JPEG_20160709_165812_1000564427158.png,66 174 346 522
JPEG_20160624_121957_1000459474116.png,76 97 385 578
JPEG_20161124_133528_1000185390193.png,106 75 397 524
JPEG_20160706_125859_1000274341962.png,152 191 317 606
1480512968076IMG_0412.png,120 32 339 535
1468666251726JPEG_20160712_160009_1000251747543.png,59 183 375 409
JPEG_20161007_135059_1000222185857.png,84 123 452 469
JPEG_20161130_133959_1000464262572.png,70 89 422 490
JPEG_20160810_161133_1000581994627.png,107 144 331 541
JPEG_20160628_124702_1000505542601.png,122 111 363 521
JPEG_20161129_150936_1000393497042.png,125 93 394 529
1480511233195IMG_0235.png,107 61 344 509
JPEG_20160628_135049_10009176618.png,130 70 357 499
JPEG_20160701_170744_1000644499556.png,94 81 342 451
147444938626911473248947651-Roadster-Men-Navy-Blue-Colourblock-High-tops-Sneakers-1911473248947570-3.png,27 104 465 570
JPEG_20160527_150734_1000222166008.png,90 85 404 527
1480331587041_R2A3310.png,88 127 394 495
JPEG_20161130_152414_1000255022343.png,0 14 480 442
JPEG_20160805_191905_1000717265087.png,36 46 387 609
JPEG_20160629_130029_1000998144872.png,98 156 425 434
JPEG_20161208_144539_1000835776874.png,162 131 321 547
147443999140711472450530096-Roadster-Men-Green-Sneakers-2941472450529909-5.png,46 41 390 640
JPEG_20160712_100904_1000258160066.png,57 224 463 401
147771702842620161028_142634.png,86 117 364 569
JPEG_20160706_111316_1000941505785.png,139 115 332 505
1480948840208_R2A2068.png,57 234 416 490
1475072837222DSC00032.png,42 205 425 428
14582089767602.png,103 219 375 415
JPEG_20161107_131354_100060427308.png,120 182 356 425
1475008485626DSC019661.png,120 130 402 500
1472628881460m_superfeet_outside_iron_03.png,211 91 428 567
147324042337550145_XXX_v2.png,20 75 460 567
1473665043324DeeplearnS11399.png,137 66 329 577
1473747871312IMG_0497.png,98 253 347 490
1480584541638IMG_20161129_205413.png,84 53 356 636
JPEG_20161210_164334_1000645429361.png,192 51 285 587
JPEG_20161126_122035_1000222459428.png,152 41 291 605
JPEG_20161118_140556_1000268285309.png,92 3 459 638
JPEG_20160702_154627_1000758211756.png,166 119 297 530
JPEG_20160620_175214_1000696482644.png,90 67 413 583
JPEG_20161124_145825_1000831874272.png,164 89 323 546
1475157814107DSC07217.png,100 48 356 620
147336128072022.png,119 74 365 560
1474711716902DSC07401.png,73 112 405 526
1474631965955DSC06123.png,7 70 445 614
1473662422298DeeplearnS11519.png,47 0 429 612
JPEG_20160629_100125_1000586385953.png,129 184 438 484
1480931570886_R2A1790.png,74 168 431 372
147772315832120161028_165044.png,142 125 340 566
JPEG_20161028_133943_1000545335019.png,73 74 280 556
JPEG_20160810_165105_100056835840.png,90 170 462 482
JPEG_20160607_143158_1000351869520.png,49 205 389 462
JPEG_20160810_122340_1000198372247.png,189 86 302 553
JPEG_20160513_141029_1000763710105.png,76 150 401 483
1480937828708_R2A1869.png,68 198 409 390
